boat_COG	boat_heading	boat_lat	boat_lon	datetime	skiff_COG	skiff_heading	skiff_lat	skiff_lon
142.93	117.918410524	61.077778333	-146.56845	2018-07-24 23:25:39	nan	nan	nan	nan
132.67	118.344457989	61.077773333	-146.568441667	2018-07-24 23:25:44	nan	nan	nan	nan
nan	118.539005035	61.077768333	-146.568435	2018-07-24 23:25:50	nan	nan	nan	nan
nan	117.413015294	61.077763333	-146.568435	2018-07-24 23:25:55	nan	nan	nan	nan
nan	116.177866074	61.07776	-146.568453333	2018-07-24 23:26:01	nan	nan	nan	nan
nan	116.682712612	61.077761667	-146.568466667	2018-07-24 23:26:06	nan	nan	nan	nan
nan	117.601372954	61.077763333	-146.568486667	2018-07-24 23:26:11	nan	nan	nan	nan
nan	117.271876952	61.077765	-146.568506667	2018-07-24 23:26:16	nan	nan	nan	nan
nan	116.869561822	61.077768333	-146.568515	2018-07-24 23:26:21	nan	nan	nan	nan
nan	118.400732414	61.077765	-146.568511667	2018-07-24 23:26:26	nan	nan	nan	nan
nan	118.072196266	61.077755	-146.5685	2018-07-24 23:26:31	nan	nan	nan	nan
143.13	118.376252003	61.077751667	-146.568503333	2018-07-24 23:26:36	nan	nan	nan	nan
126.73	117.529017546	61.077746667	-146.56848	2018-07-24 23:26:41	nan	nan	nan	nan
nan	117.463785756	61.077743333	-146.56846	2018-07-24 23:26:47	nan	nan	nan	nan
nan	118.275443159	61.077746667	-146.568448333	2018-07-24 23:26:52	nan	nan	nan	nan
nan	118.415161835	61.077746667	-146.568435	2018-07-24 23:26:57	nan	nan	nan	nan
nan	118.971239905	61.077748333	-146.568435	2018-07-24 23:27:02	nan	nan	nan	nan
nan	119.09500945	61.077753333	-146.56844	2018-07-24 23:27:07	nan	nan	nan	nan
nan	119.074709102	61.077756667	-146.568456667	2018-07-24 23:27:12	nan	nan	nan	nan
nan	118.957829929	61.077758333	-146.568468333	2018-07-24 23:27:17	nan	nan	nan	nan
344.44	119.47303925	61.077765	-146.568471667	2018-07-24 23:27:22	nan	nan	nan	nan
313.59	119.410927779	61.07777	-146.568473333	2018-07-24 23:27:27	nan	nan	nan	nan
295.48	120.167052745	61.077788333	-146.568521667	2018-07-24 23:27:33	nan	nan	nan	nan
311.54	119.831049817	61.077791667	-146.56854	2018-07-24 23:27:38	nan	nan	nan	nan
nan	120.122701994	61.077795	-146.568551667	2018-07-24 23:27:44	nan	nan	nan	nan
nan	120.10226475	61.077793333	-146.568555	2018-07-24 23:27:49	nan	nan	nan	nan
nan	121.174301629	61.077791667	-146.568551667	2018-07-24 23:27:54	nan	nan	nan	nan
nan	121.375460474	61.07779	-146.568553333	2018-07-24 23:27:59	nan	nan	nan	nan
nan	120.481280987	61.077786667	-146.568551667	2018-07-24 23:28:04	nan	nan	nan	nan
nan	121.232551373	61.077783333	-146.568541667	2018-07-24 23:28:09	nan	nan	nan	nan
nan	121.305347288	61.07778	-146.568531667	2018-07-24 23:28:14	nan	nan	nan	nan
nan	121.367792258	61.07778	-146.568531667	2018-07-24 23:28:14	nan	nan	nan	nan
nan	122.776576408	61.07778	-146.568531667	2018-07-24 23:28:14	nan	nan	nan	nan
93.63	123.281742011	61.077778333	-146.568486667	2018-07-24 23:28:29	nan	nan	nan	nan
nan	122.777600807	61.077778333	-146.568475	2018-07-24 23:28:35	nan	nan	nan	nan
nan	122.729496466	61.077778333	-146.56847	2018-07-24 23:28:40	nan	nan	nan	nan
nan	123.623814573	61.077783333	-146.568468333	2018-07-24 23:28:45	nan	nan	nan	nan
nan	124.135732184	61.077783333	-146.568515	2018-07-24 23:28:50	nan	nan	nan	nan
303.99	125.002493414	61.077775	-146.568511667	2018-07-24 23:28:55	nan	nan	nan	nan
239.07	123.943724393	61.077775	-146.56852	2018-07-24 23:29:00	nan	nan	nan	nan
nan	125.418248047	61.077768333	-146.568536667	2018-07-24 23:29:06	nan	nan	nan	nan
nan	124.701260969	61.077765	-146.568538333	2018-07-24 23:29:11	nan	nan	nan	nan
nan	125.2807726	61.077766667	-146.568543333	2018-07-24 23:29:16	nan	nan	nan	nan
243.5	125.316129126	61.077763333	-146.568546667	2018-07-24 23:29:21	nan	nan	nan	nan
nan	126.562304138	61.077765	-146.56855	2018-07-24 23:29:27	nan	nan	nan	nan
nan	125.977409855	61.077773333	-146.568558333	2018-07-24 23:29:32	nan	nan	nan	nan
nan	127.360725388	61.077771667	-146.568563333	2018-07-24 23:29:37	nan	nan	nan	nan
nan	127.728538434	61.077768333	-146.568571667	2018-07-24 23:29:42	nan	nan	nan	nan
nan	127.046609191	61.077765	-146.568576667	2018-07-24 23:29:47	nan	nan	nan	nan
nan	127.420110602	61.077766667	-146.56857	2018-07-24 23:29:52	nan	nan	nan	nan
157.71	126.903977911	61.077758333	-146.568551667	2018-07-24 23:29:57	nan	nan	nan	nan
160.07	126.735177596	61.07775	-146.568541667	2018-07-24 23:30:02	nan	nan	nan	nan
nan	127.327245466	61.077738333	-146.568535	2018-07-24 23:30:08	nan	nan	nan	nan
nan	128.151201063	61.077731667	-146.568531667	2018-07-24 23:30:13	nan	nan	nan	nan
nan	127.567196245	61.077718333	-146.56854	2018-07-24 23:30:18	nan	nan	nan	nan
159.47	126.321993705	61.077705	-146.568525	2018-07-24 23:30:23	nan	nan	nan	nan
147.98	125.121686457	61.077708333	-146.568521667	2018-07-24 23:30:28	nan	nan	nan	nan
48.79	126.12301668	61.077708333	-146.56851	2018-07-24 23:30:33	nan	nan	nan	nan
nan	125.801837806	61.07771	-146.568508333	2018-07-24 23:30:39	nan	nan	nan	nan
nan	125.128445034	61.077708333	-146.568493333	2018-07-24 23:30:44	nan	nan	nan	nan
nan	126.111782981	61.077703333	-146.56848	2018-07-24 23:30:49	nan	nan	nan	nan
nan	125.801837806	61.077691667	-146.568468333	2018-07-24 23:30:54	nan	nan	nan	nan
nan	124.917146584	61.077685	-146.568456667	2018-07-24 23:30:59	nan	nan	nan	nan
nan	124.2131987	61.077685	-146.568456667	2018-07-24 23:30:59	nan	nan	nan	nan
nan	125.219846697	61.077696667	-146.568481667	2018-07-24 23:31:10	nan	nan	nan	nan
nan	123.066170116	61.077723333	-146.568541667	2018-07-24 23:31:15	nan	nan	nan	nan
nan	124.325059069	61.077718333	-146.568545	2018-07-24 23:31:21	nan	nan	nan	nan
nan	123.430438198	61.077718333	-146.568548333	2018-07-24 23:31:26	nan	nan	nan	nan
nan	122.982468898	61.07772	-146.568548333	2018-07-24 23:31:31	nan	nan	nan	nan
nan	122.842073834	61.07772	-146.568541667	2018-07-24 23:31:36	nan	nan	nan	nan
258.91	123.433148182	61.077721667	-146.568541667	2018-07-24 23:31:41	nan	nan	nan	nan
nan	123.836339633	61.077716667	-146.568546667	2018-07-24 23:31:46	nan	nan	nan	nan
nan	122.898844291	61.077713333	-146.568555	2018-07-24 23:31:52	nan	nan	nan	nan
nan	123.066170116	61.077713333	-146.568568333	2018-07-24 23:31:57	nan	nan	nan	nan
nan	123.519399864	61.07772	-146.568578333	2018-07-24 23:32:02	nan	nan	nan	nan
nan	122.475457318	61.077728333	-146.568583333	2018-07-24 23:32:07	nan	nan	nan	nan
nan	122.944685355	61.07774	-146.568593333	2018-07-24 23:32:12	nan	nan	nan	nan
nan	121.626169655	61.077745	-146.568605	2018-07-24 23:32:18	nan	nan	nan	nan
nan	122.794319072	61.077741667	-146.568606667	2018-07-24 23:32:23	nan	nan	nan	nan
nan	124.475448036	61.077738333	-146.568606667	2018-07-24 23:32:28	nan	nan	nan	nan
nan	125.607479865	61.077736667	-146.568606667	2018-07-24 23:32:33	nan	nan	nan	nan
nan	126.254892716	61.07774	-146.568606667	2018-07-24 23:32:38	nan	nan	nan	nan
nan	125.915245349	61.07774	-146.568596667	2018-07-24 23:32:43	nan	nan	nan	nan
318.28	125.263043143	61.077743333	-146.56859	2018-07-24 23:32:48	nan	nan	nan	nan
298.82	125.253123717	61.077748333	-146.568598333	2018-07-24 23:32:53	nan	nan	nan	nan
nan	126.189788582	61.077751667	-146.568616667	2018-07-24 23:32:59	nan	nan	nan	nan
nan	125.811946307	61.077753333	-146.568625	2018-07-24 23:33:04	nan	nan	nan	nan
nan	126.318990304	61.077758333	-146.568636667	2018-07-24 23:33:09	nan	nan	nan	nan
nan	125.005904118	61.077773333	-146.56863	2018-07-24 23:33:14	nan	nan	nan	nan
nan	125.290816063	61.07778	-146.568625	2018-07-24 23:33:19	nan	nan	nan	nan
nan	126.900145464	61.077793333	-146.5686	2018-07-24 23:33:24	nan	nan	nan	nan
nan	126.254892716	61.077806667	-146.568608333	2018-07-24 23:33:29	nan	nan	nan	nan
nan	125.884043172	61.077806667	-146.568608333	2018-07-24 23:33:29	nan	nan	nan	nan
nan	126.505771065	61.077806667	-146.568608333	2018-07-24 23:33:29	nan	nan	nan	nan
nan	126.694236939	61.077806667	-146.568608333	2018-07-24 23:33:29	nan	nan	nan	nan
nan	126.676905302	61.077806667	-146.568608333	2018-07-24 23:33:29	nan	nan	nan	nan
339.14	125.935060788	61.077818333	-146.56856	2018-07-24 23:33:54	nan	nan	nan	nan
nan	124.778913853	61.077828333	-146.568543333	2018-07-24 23:34:00	nan	nan	nan	nan
nan	126.056100363	61.077828333	-146.568538333	2018-07-24 23:34:05	nan	nan	nan	nan
nan	126.442845093	61.077826667	-146.568536667	2018-07-24 23:34:10	nan	nan	nan	nan
nan	126.611264889	61.077825	-146.568538333	2018-07-24 23:34:15	nan	nan	nan	nan
nan	126.100694438	61.07783	-146.568541667	2018-07-24 23:34:20	nan	nan	nan	nan
nan	125.335192807	61.077838333	-146.568546667	2018-07-24 23:34:25	nan	nan	nan	nan
4.29	125.728099942	61.077848333	-146.56855	2018-07-24 23:34:30	nan	nan	nan	nan
nan	125.74819025	61.077858333	-146.568551667	2018-07-24 23:34:36	nan	nan	nan	nan
nan	125.241897688	61.077866667	-146.568551667	2018-07-24 23:34:41	nan	nan	nan	nan
nan	126.567726723	61.077871667	-146.568551667	2018-07-24 23:34:46	nan	nan	nan	nan
nan	125.017548223	61.077871667	-146.568553333	2018-07-24 23:34:51	nan	nan	nan	nan
nan	125.197721018	61.077868333	-146.568566667	2018-07-24 23:34:56	nan	nan	nan	nan
