boat_COG	boat_heading	boat_lat	boat_lon	boat_speed	datetime	skiff_COG	skiff_heading	skiff_lat	skiff_lon	skiff_speed
271.73	349.874366721	60.865743333	-147.383253333	0.797	2018-07-26 12:27:54	nan	nan	nan	nan	nan
259.33	347.411486859	60.865711667	-147.383348333	0.839	2018-07-26 12:27:59	nan	nan	nan	nan	nan
262.83	345.121238346	60.865695	-147.383425	0.705	2018-07-26 12:28:04	nan	nan	nan	nan	nan
252.93	344.580697108	60.865691667	-147.383501667	0.756	2018-07-26 12:28:10	nan	nan	nan	nan	nan
320.13	350.117018639	60.866161667	-147.384896667	1.091	2018-07-26 12:29:47	nan	nan	nan	nan	nan
330.5	350.890551656	60.866203333	-147.384961667	1.255	2018-07-26 12:29:52	nan	nan	nan	nan	nan
333.8	352.696405815	60.866253333	-147.38498	1.523	2018-07-26 12:29:57	nan	nan	nan	nan	nan
345.34	353.882637601	60.86631	-147.385001667	1.415	2018-07-26 12:30:02	nan	nan	nan	nan	nan
347.15	353.669877467	60.866366667	-147.38503	1.368	2018-07-26 12:30:07	nan	nan	nan	nan	nan
0.89	353.848144532	60.866431667	-147.385016667	1.476	2018-07-26 12:30:12	nan	nan	nan	nan	nan
350.58	354.385253296	60.866491667	-147.385023333	1.07	2018-07-26 12:30:17	nan	nan	nan	nan	nan
4.37	355.299572211	60.866535	-147.385028333	0.607	2018-07-26 12:30:22	nan	nan	nan	nan	nan
0.7	353.840590995	60.866565	-147.38504	0.813	2018-07-26 12:30:27	nan	nan	nan	nan	nan
353.73	356.437979948	60.866605	-147.385053333	0.854	2018-07-26 12:30:32	nan	nan	nan	nan	nan
347.97	357.294278284	60.866645	-147.385043333	0.761	2018-07-26 12:30:37	nan	nan	nan	nan	nan
349.25	355.685978395	60.866678333	-147.385043333	0.705	2018-07-26 12:30:42	nan	nan	nan	nan	nan
338.15	354.869813087	60.866708333	-147.38506	0.684	2018-07-26 12:30:47	nan	nan	nan	nan	nan
332.07	355.594568537	60.866728333	-147.385086667	0.478	2018-07-26 12:30:52	nan	nan	nan	nan	nan
326.79	358.370899178	60.866753333	-147.38511	0.622	2018-07-26 12:30:57	nan	nan	nan	nan	nan
320.35	356.701737656	60.866771667	-147.38515	0.617	2018-07-26 12:31:02	nan	nan	nan	nan	nan
311.69	355.739233926	60.866786667	-147.385193333	0.556	2018-07-26 12:31:07	nan	nan	nan	nan	nan
313.9	355.354032166	60.866803333	-147.385225	0.571	2018-07-26 12:31:12	nan	nan	nan	nan	nan
307.59	356.384821897	60.866815	-147.385238333	0.401	2018-07-26 12:31:17	nan	nan	nan	nan	nan
320.54	355.761735949	60.866828333	-147.385263333	0.448	2018-07-26 12:31:22	nan	nan	nan	nan	nan
292.9	354.351603279	60.866831667	-147.385303333	0.437	2018-07-26 12:31:27	nan	nan	nan	nan	nan
298.01	355.685978395	60.866843333	-147.385345	0.514	2018-07-26 12:31:32	nan	nan	nan	nan	nan
300.43	356.402787967	60.866855	-147.385388333	0.566	2018-07-26 12:31:37	nan	nan	nan	nan	nan
304.65	355.768178243	60.866868333	-147.385425	0.499	2018-07-26 12:31:42	nan	nan	nan	nan	nan
298.84	354.715433455	60.866883333	-147.385483333	0.684	2018-07-26 12:31:47	nan	nan	nan	nan	nan
287.43	354.417000397	60.866888333	-147.385526667	0.602	2018-07-26 12:31:52	nan	nan	nan	nan	nan
280.99	353.225913214	60.866886667	-147.385581667	0.525	2018-07-26 12:31:57	nan	nan	nan	nan	nan
280.99	353.000949196	60.866886667	-147.385581667	0.525	2018-07-26 12:31:57	nan	nan	nan	nan	nan
280.99	353.937422985	60.866886667	-147.385581667	0.525	2018-07-26 12:31:57	nan	nan	nan	nan	nan
280.99	353.314510321	60.866886667	-147.385581667	0.525	2018-07-26 12:31:57	nan	nan	nan	nan	nan
280.99	352.586046273	60.866886667	-147.385581667	0.525	2018-07-26 12:31:57	nan	nan	nan	nan	nan
276.73	350.992367843	60.86692	-147.385848333	0.612	2018-07-26 12:32:22	nan	nan	nan	nan	nan
276.73	350.273716565	60.86692	-147.385848333	0.612	2018-07-26 12:32:22	nan	nan	nan	nan	nan
276.73	351.406496875	60.86692	-147.385848333	0.612	2018-07-26 12:32:22	nan	nan	nan	nan	nan
285.37	351.561545348	60.866958333	-147.38597	0.581	2018-07-26 12:32:37	nan	nan	nan	nan	nan
291.08	353.016893478	60.866965	-147.386008333	0.592	2018-07-26 12:32:42	nan	nan	nan	nan	nan
291.08	354.953187571	60.866965	-147.386008333	0.592	2018-07-26 12:32:42	nan	nan	nan	nan	nan
291.08	355.145009958	60.866965	-147.386008333	0.592	2018-07-26 12:32:42	nan	nan	nan	nan	nan
291.08	356.798640645	60.866965	-147.386008333	0.592	2018-07-26 12:32:42	nan	nan	nan	nan	nan
291.08	357.979307333	60.866965	-147.386008333	0.592	2018-07-26 12:32:42	nan	nan	nan	nan	nan
291.08	355.710195183	60.866965	-147.386008333	0.592	2018-07-26 12:32:42	nan	nan	nan	nan	nan
291.08	355.077414296	60.866965	-147.386008333	0.592	2018-07-26 12:32:42	nan	nan	nan	nan	nan
