boat_COG	boat_heading	boat_lat	boat_lon	boat_speed	datetime	pressure	skiff_COG	skiff_heading	skiff_lat	skiff_lon	skiff_speed	temp
187.03	290.036348218	60.635453333	-148.152793333	0.417	2018-07-31 11:38:16	101.61382732801168	nan	nan	nan	nan	nan	16.722553440332412
205.26	290.277740428	60.635416667	-148.152818333	0.386	2018-07-31 11:38:21	101.61382732801168	nan	nan	nan	nan	nan	16.722553440332412
287.54	290.487388197	60.635406667	-148.15286	0.201	2018-07-31 11:38:26	101.61181647695615	nan	nan	nan	nan	nan	16.704384075403212
282.31	290.397927777	60.635406667	-148.152918333	0.437	2018-07-31 11:38:31	101.49706016494864	nan	nan	nan	nan	nan	16.686212879419326
329.01	290.084808791	60.635411667	-148.153005	0.082	2018-07-31 11:38:36	101.60980379886037	nan	nan	nan	nan	nan	16.686212879419326
274.32	290.294196309	60.63541	-148.153058333	0.499	2018-07-31 11:38:41	101.60980379886037	nan	nan	nan	nan	nan	16.686212879419326
247.66	290.462093667	60.635401667	-148.153106667	1.024	2018-07-31 11:38:46	101.6077892937242	nan	nan	nan	nan	nan	16.66803985238075
249.64	290.671745896	60.635388333	-148.153403333	1.677	2018-07-31 11:38:51	101.60577296154791	nan	nan	nan	nan	nan	16.64986499428749
266.41	290.782637795	60.635375	-148.153566667	1.41	2018-07-31 11:38:56	-870.7229361210893	nan	nan	nan	nan	nan	16.64986499428749
256.55	290.910719459	60.635358333	-148.153455	1.296	2018-07-31 11:39:01	101.60375480233154	nan	nan	nan	nan	nan	16.63168830513954
191.05	290.892967403	60.635373333	-148.153275	0.329	2018-07-31 11:39:06	101.60173481607461	nan	nan	nan	nan	nan	16.613509784936905
69.45	11.4088597288	60.56622	-148.296355	0.324	2018-07-31 15:58:32	101.47167819902286	nan	nan	nan	nan	nan	19.74901309609413
46.79	11.9552079862	60.566221667	-148.296338333	0.19	2018-07-31 15:58:37	101.47167819902286	nan	nan	nan	nan	nan	19.74901309609413
67.7	12.1239860109	60.566226667	-148.296325	0.175	2018-07-31 15:58:42	101.58349658036241	nan	nan	nan	nan	nan	19.731151348352434
79.19	11.9739166418	60.56623	-148.29631	0.149	2018-07-31 15:58:47	101.47167819902286	nan	nan	nan	nan	nan	19.74901309609413
150.13	12.4869171825	60.566228333	-148.296301667	0.072	2018-07-31 15:58:52	101.35816933829497	nan	nan	nan	nan	nan	19.74901309609413
98.58	11.6441400239	60.566226667	-148.296301667	0.118	2018-07-31 15:58:57	101.47167819902286	nan	nan	nan	nan	nan	19.74901309609413
122.5	12.1574757393	60.566225	-148.296293333	0.082	2018-07-31 15:59:02	101.35816933829497	nan	nan	nan	nan	nan	19.74901309609413
